Nom du site;Adresse;Code postal;Code Site;Nombre de bornes;Etat du site;geo_shape;geo_point_2d
MAISON DE LA VIE ASSOCIATIVE ET CITOYENNE  1;5B RUE DU LOUVRE;75001;PW0148;2;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.34115675500317, 48.8618833615023]}";48.8618833615,2.341156755
MAIRIE DU 1 ER;4 PLACE DU LOUVRE;75001;PW0127;2;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.341064476164004, 48.860083526572126]}";48.8600835266,2.34106447616
JARDIN NELSON MANDELA;32 RUE BERGER;75001;PW0110;2;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.34630372400731, 48.86146942215447]}";48.8614694222,2.34630372401
MEDIATHEQUE MUSICALE DE PARIS (HALLES);8 PORTE SAINT EUSTACHE;75001;PW0020;2;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.345916105005208, 48.862650133028886]}";48.862650133,2.34591610501
PREFOURRIERE LOUVRE;1 PLACE DU LOUVRE;75001;PW0227;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.340738421116781, 48.859324822757436]}";48.8593248228,2.34073842112
BERGES RIVE DROITE - PONT NEUF;BERGE DE SEINE RIVE DROITE - SORTIE TUNNEL TUILERIETUILERIES;75001;PW0149;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.335822356054447, 48.85937332543368]}";48.8593733254,2.33582235605
MEDIATHEQUE LA CANOPEE LA FONTAINE;10 PASSAGE DE LA CANOPEE;75001;PW0143;5;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.347643903283826, 48.86181948548023]}";48.8618194855,2.34764390328
BERGES RIVE DROITE - PONT AU CHANGE;BERGE DE SEINE RIVE DROITE - SORTIE CHATELET;75001;PW0193;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.347019924471973, 48.85742785373788]}";48.8574278537,2.34701992447
BIBLIOTHEQUE DU CINEMA FRANCOIS TRUFFAUT;14 RUE DES PROUVAIRES;75001;PW0112;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.344154109508663, 48.86148891058231]}";48.8614889106,2.34415410951
BERGES RIVE DROITE - PONT AU CHANGE;BERGE DE SEINE RIVE DROITE - VIA FERRATA;75001;PW0158;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.346563042652777, 48.857512783868636]}";48.8575127839,2.34656304265
MAIRIE DU 2 EME;8 RUE DE LA BANQUE;75002;PW0034;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.340450799891371, 48.86683452754676]}";48.8668345275,2.34045079989
MAISON DE LA VIE ASSOCIATIVE ET CITOYENNE 2;23 RUE GRENETA;75002;PW0036;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.35054940319118, 48.86508140493411]}";48.8650814049,2.35054940319
CENTRE SPORTIF JEAN DAME;17 RUE LEOPOLD BELLAN;75002;PW0082;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.345506505320458, 48.86656834849909]}";48.8665683485,2.34550650532
BIBLIOTHEQUE CHARLOTTE DELBO;2 PASSAGE DES PETITS PERES;75002;PW0134;2;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.340434491489431, 48.866507580054055]}";48.8665075801,2.34043449149
MAISON DE LA VIE ASSOCIATIVE ET CITOYENNE 3/4;3 RUE EUGENE SPULLER;75003;PW0019-1;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.362186544891376, 48.86402504205692]}";48.8640250421,2.36218654489
MAIRIE DU 3 EME;2 RUE EUGENE SPULLER;75003;PW0019;2;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.361531961565591, 48.8639920263]}";48.8639920263,2.36153196157
BOURSE DU TRAVAIL ANNEXE TURBIGO;67 RUE TURBIGO;75003;PW0219;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.358004775693508, 48.86601657813311]}";48.8660165781,2.35800477569
BIBLIOTHEQUE MARGUERITE AUDOUX;8-12 RUE PORTEFOIN;75003;PW0044;2;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.359846256600825, 48.86376892355013]}";48.8637689236,2.3598462566
BOURSE DU TRAVAIL ANNEXE CHARLOT;85 RUE CHARLOT;75003;PW0220;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.365108017746905, 48.86514825320897]}";48.8651482532,2.36510801775
MAISON DES INITIATIVES ETUDIANTES;50 RUE DES TOURNELLES;75003;PW0070;8;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.36739182012952, 48.856221957138]}";48.8562219571,2.36739182013
SQUARE JEAN XXIII - 2;RUE DU CLOITRE NOTRE DAME;75004;PW0067;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.35079596200768, 48.852501475068166]}";48.8525014751,2.35079596201
HOTEL DE VILLE 3EME;4 PLACE DE L HOTEL DE VILLE;75004;PW0122-4;3;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.352901785985004, 48.85632801355686]}";48.8563280136,2.35290178599
HOTEL DE VILLE 2EME;4 PLACE DE L HOTEL DE VILLE;75004;PW0122-3;6;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.352685785891044, 48.85602609046494]}";48.8560260905,2.35268578589
SQUARE LOUIS XIII;30 PLACE DES VOSGES;75004;PW0163;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.365658403131317, 48.855630783910044]}";48.8556307839,2.36565840313
