Nom du site;Adresse;Code postal;Code Site;Nombre de bornes;Etat du site;geo_shape;geo_point_2d
MAISON DES ACTEURS DU PARIS DURABLE;21 RUE BLANCS MANTEAUX;75004;PW0192;3;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.356872775538012, 48.85904965674071]}";48.8590496567,2.35687277554
HOTEL DE VILLE SOUS SOL;4 PLACE DE L'HOTEL DE VILLE;75004;PW0122;3;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.352648313015422, 48.856763442143226]}";48.8567634421,2.35264831302
JARDIN FREDERICO GARCIA LORCA - SQUARE HDV;QUAI DE L'HOTEL DE VILLE;75004;PW0191;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.353240934008803, 48.85471050547104]}";48.8547105055,2.35324093401
LES BLANCS MANTEAUX;48 RUE VIEILLE DU TEMPLE;75004;PW0121;2;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.358392357177399, 48.858261325151034]}";48.8582613252,2.35839235718
BIBLIOTHEQUE FORNEY;1 RUE DU FIGUIER;75004;PW0050;2;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.359179237268959, 48.853423533989464]}";48.853423534,2.35917923727
HOTEL DE VILLE 1ER;PLACE DE L HOTEL DE VILLE;75004;PW0122-2;3;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.352261859070027, 48.85608287395022]}";48.856082874,2.35226185907
HOTEL DE VILLE 4EME;4 PLACE DE L'HOTEL DE VILLE;75004;PW0122-5;6;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.353171823279209, 48.85686653543352]}";48.8568665354,2.35317182328
HOTEL DE VILLE PARVIS RIVOLI;4 PLACE DE L HOTEL DE VILLE;75004;PW0123-1;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.352351724212447, 48.857051850068956]}";48.8570518501,2.35235172421
MAIRIE DU 4 EME;2 PLACE BAUDOYER;75004;PW0132;2;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.355756901105178, 48.856271607867846]}";48.8562716079,2.35575690111
BIBLIOTHEQUE HISTORIQUE DE LA VILLE DE PARIS (BHVP);24 RUE PAVEE;75004;PW0043;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.361695904390476, 48.857065427924205]}";48.8570654279,2.36169590439
BERGES RIVE DROITE - PONT D ARCOLE;BERGE DE SEINE RIVE DROITE - QUAI DE GESVRES;75004;PW0156;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.350834661285838, 48.8558319847793]}";48.8558319848,2.35083466129
